network,cores,num_cpus,mean_cpi,std_cpi,execution_time_seconds,membus_pkt_count,membus_pkt_size,membus_snoop_traffic,l3_bus_snoop_traffic,l1d_misses,l2_misses
point_to_point,2,2,4.8278225,4.192583890972308,0.111936508,1076849.0,36556352.0,0.0,13581888.0,0,0
point_to_point,4,4,10.8624515,5.978875257179481,0.250714912,1061048.0,36166080.0,0.0,13532352.0,0,0
point_to_point,8,8,23.129040875,7.971460509579614,0.561847856,1060971.0,36132096.0,0.0,13507520.0,0,0
point_to_point,16,16,46.507795625,10.540870938014745,1.20023668,1056843.0,35813056.0,0.0,13275264.0,0,0
ring,2,2,4.8278225,4.192583890972308,0.111936508,1076849.0,36556352.0,0.0,13581888.0,0,0
ring,4,4,10.8624515,5.978875257179481,0.250714912,1061048.0,36166080.0,0.0,13532352.0,0,0
ring,8,8,23.129040875,7.971460509579614,0.561847856,1060971.0,36132096.0,0.0,13507520.0,0,0
ring,16,16,46.507795625,10.540870938014745,1.20023668,1056843.0,35813056.0,0.0,13275264.0,0,0
crossbar,2,2,4.8278225,4.192583890972308,0.111936508,1076849.0,36556352.0,0.0,13581888.0,0,0
crossbar,4,4,10.8624515,5.978875257179481,0.250714912,1061048.0,36166080.0,0.0,13532352.0,0,0
crossbar,8,8,23.129040875,7.971460509579614,0.561847856,1060971.0,36132096.0,0.0,13507520.0,0,0
crossbar,16,16,46.507795625,10.540870938014745,1.20023668,1056843.0,35813056.0,0.0,13275264.0,0,0
